year,ahe,bachelor,female,age
1992,28.846153,1,0,30
1992,9.4405594,1,1,30
1992,14.230769,1,0,30
1992,8.9743586,1,0,27
1992,12.8,1,1,28
1992,14.423077,0,0,34
1992,45.673077,1,0,28
1992,11.057693,1,1,27
1992,12.019231,1,1,26
1992,13.461538,0,0,33
1992,25.641026,1,0,27
1992,9.6153851,0,0,26
1992,3.5714285,1,0,31
1992,14.423077,1,0,34
1992,20.673077,1,1,31
1992,19.23077,0,0,33
1992,7.6923075,1,0,29
1992,16.826923,0,0,26
1992,10.576923,0,0,32
1992,10.121457,0,1,28
1992,15.9,0,1,33
1992,8.9342947,0,0,27
1992,16.346153,0,0,34
1992,15,1,0,28
1992,7.2115383,0,1,26
1992,14.230769,0,1,32
1992,29.91453,1,0,34
1992,14.423077,0,0,29
1992,15.865385,0,0,27
1992,9.1346149,0,1,27
1992,15.865385,1,1,29
1992,24.23077,1,0,31
1992,15.384615,1,1,31
1992,11.538462,0,0,34
1992,11.538462,0,0,32
1992,12.426036,0,0,29
1992,14.423077,0,0,34
1992,7.4499998,0,1,30
1992,6.25,0,1,31
1992,7.2115383,0,0,25
1992,21.634615,0,0,34
1992,9.6153851,1,1,34
1992,16.153847,1,0,27
1992,16.239317,1,0,29
1992,17.245192,0,0,31
1992,20.066889,0,1,30
1992,19.23077,0,0,30
1992,4.8076925,0,0,32
1992,8.6538458,0,1,33
1992,8.6538458,0,0,28
1992,26.495726,1,0,31
1992,15.384615,0,0,28
1992,14.423077,1,1,30
1992,9.6153851,0,1,29
1992,15.384615,1,0,27
1992,10.683761,0,1,25
1992,41.346153,1,0,32
1992,11.538462,0,0,32
1992,12.5,0,1,31
1992,7.647059,0,0,29
1992,12.019231,1,1,25
1992,11.111111,1,1,26
1992,10.576923,1,0,26
1992,5.5769229,0,0,28
1992,16.826923,0,0,34
1992,14.423077,1,0,29
1992,11.971154,0,0,32
1992,8.0288458,0,0,25
1992,15.384615,1,1,31
1992,14.957265,1,1,27
1992,19.23077,0,1,30
1992,7.2115383,0,0,27
1992,24.038462,1,1,34
1992,15.384615,1,0,29
1992,11.538462,1,1,28
1992,11.965812,0,0,33
1992,10,0,1,30
1992,25,1,0,30
1992,10.256411,0,1,30
1992,8.1730766,0,1,25
1992,10.683761,1,1,26
1992,11.538462,1,1,34
1992,11.923077,0,1,26
1992,15.384615,1,0,29
1992,5.7692308,0,0,27
1992,13.986014,1,0,29
1992,12.019231,1,0,29
1992,14.423077,1,1,27
1992,6.25,0,1,30
1992,7.6923075,0,1,30
1992,12,0,1,31
1992,12.069872,1,0,32
1992,11.858974,1,1,26
1992,9.3406591,0,1,29
1992,17.307692,1,0,30
1992,10.302197,1,1,27
1992,4.8150001,1,1,29
1992,12.820513,1,1,28
1992,10,1,1,26
1992,25,1,0,34
1992,11.25,0,0,34
1992,21.634615,1,0,25
1992,7.6923075,1,0,26
1992,24.038462,1,0,31
1992,12.980769,1,1,30
1992,12.019231,0,0,25
1992,12.019231,0,0,26
1992,11.538462,1,1,27
1992,19.23077,1,0,26
1992,12.019231,0,0,26
1992,6.25,0,0,30
1992,16.153847,1,1,28
1992,13.636364,1,0,26
1992,13.461538,0,0,32
1992,10.683761,1,0,27
1992,18.315018,0,0,28
1992,12.980769,1,1,32
1992,8.6164999,1,0,27
1992,12.692307,0,1,30
1992,36.057693,1,0,28
1992,9.6153851,0,0,30
1992,11.346154,1,1,28
1992,17.788462,1,0,30
1992,14.957265,1,1,29
1992,14.892624,1,1,28
1992,10,1,0,26
1992,9.6153851,1,1,26
1992,10.101923,1,1,31
1992,16.778847,1,0,30
1992,11.180679,0,1,27
1992,10.817307,1,1,29
1992,23.557692,0,0,31
1992,14.423077,1,1,27
1992,12.5,1,1,29
1992,12.019231,0,0,31
1992,14.230769,1,0,31
1992,11.538462,1,0,34
1992,18.26923,1,0,33
1992,5.8823528,1,0,27
1992,12.019231,1,1,27
1992,15.865385,1,1,28
1992,34.615383,1,0,32
1992,10,0,1,34
1992,17.307692,0,1,28
1992,19.23077,1,0,32
1992,25.174826,1,0,32
1992,6.0096154,0,0,25
1992,23.668638,0,0,31
1992,4.8076925,0,0,32
1992,8.6980772,0,1,32
1992,15.244231,0,0,31
1992,14.903846,1,0,30
1992,19.711538,1,0,27
1992,20.192308,1,0,34
1992,18.315018,1,1,30
1992,16.888889,1,1,33
1992,9.2307692,1,0,31
1992,20.192308,1,1,28
1992,7.2115383,1,0,25
1992,14.423077,1,0,25
1992,10.817307,1,1,30
1992,16.826923,1,0,34
1992,12.087913,1,0,28
1992,21.25506,0,0,28
1992,9.6153851,1,1,26
1992,12.367788,1,1,26
1992,12,0,0,33
1992,7.5,0,0,27
1992,10.096154,1,0,26
1992,12.019231,1,1,26
1992,13.461538,0,0,30
1992,5.3571429,0,0,25
1992,14.957265,1,0,27
1992,10.769231,1,1,25
1992,18.75,1,1,28
1992,16.826923,1,1,28
1992,12.692307,1,0,31
1992,12.587413,1,0,28
1992,14.423077,1,1,25
1992,16.153847,0,0,30
1992,14.423077,1,1,28
1992,9.8389978,1,0,31
1992,18.26923,0,0,29
1992,11.778846,1,1,25
1992,11.217949,1,1,25
1992,15.162722,1,0,34
1992,20.673077,1,0,33
1992,8.5059175,1,0,31
1992,20.192308,0,0,34
1992,17.094017,0,0,31
1992,11.538462,1,0,26
1992,12.019231,0,0,33
1992,18.26923,1,0,26
1992,25,1,1,32
1992,14.423077,1,1,32
1992,11.23173,0,1,34
1992,12.5,1,0,27
1992,8.2417583,1,0,25
1992,14.423077,1,0,27
1992,14.423077,1,1,26
1992,15.384615,1,1,34
1992,17.307692,1,1,29
1992,14.903846,0,1,25
1992,6.25,0,0,27
1992,10.769231,1,0,29
1992,19.23077,1,0,33
1992,24.663462,1,0,32
1992,16.153847,1,1,33
1992,14.423077,1,0,33
1992,21.634615,1,1,30
1992,11.057693,0,1,26
1992,19.196154,0,0,28
1992,17.788462,0,0,30
1992,10.192307,1,1,30
1992,17.788462,1,0,27
1992,23.557692,1,0,33
1992,7.2115383,0,1,26
1992,19.23077,0,0,27
1992,9.1093121,1,1,31
1992,14.182693,0,0,29
1992,20.32967,1,1,33
1992,16.826923,0,0,32
1992,13.461538,1,1,28
1992,5.4591837,0,0,25
1992,9.6153851,1,1,26
1992,13.247863,1,1,28
1992,13.461538,1,0,34
1992,20.907051,1,1,26
1992,11.538462,0,0,26
1992,19.23077,1,0,25
1992,7.6703296,0,1,32
1992,19.23077,0,0,32
1992,15.384615,1,0,27
1992,6.1538463,1,0,25
1992,12.980769,0,1,25
1992,17.094017,0,0,29
1992,12.019231,1,0,28
1992,6.4102564,0,1,32
1992,11.769231,0,0,34
1992,13.736263,1,1,25
1992,18.376068,0,0,34
1992,14.708974,1,0,28
1992,12.019231,0,1,30
1992,9.6153851,1,0,28
1992,17.582418,1,1,34
1992,13.461538,1,1,34
1992,8.5470085,1,1,26
1992,9.6153851,1,0,29
1992,13.541667,1,1,30
1992,14.423077,1,0,27
1992,31.25,1,1,26
1992,23.461538,1,0,30
1992,19.23077,0,0,33
1992,20.192308,1,1,30
1992,14.423077,0,0,29
1992,17.307692,0,0,25
1992,8.1538458,1,0,32
1992,10.926574,0,0,28
1992,9.1346149,0,1,28
1992,9.1826925,0,1,31
1992,9.6153851,0,0,31
1992,23.504274,1,1,33
1992,10,1,0,29
1992,15.384615,1,1,31
1992,15.769231,1,1,26
1992,14.423077,0,0,34
1992,11.778846,0,0,27
1992,9.1051807,0,1,26
1992,6.5,0,1,34
1992,12.019231,0,0,27
1992,12.5,1,1,28
1992,7.6923075,0,0,30
1992,13.942307,1,1,27
1992,9.6153851,0,0,30
1992,8.4134617,1,1,33
1992,11.111111,0,0,27
1992,11.538462,0,0,26
1992,24.038462,1,0,31
1992,7.6783652,0,0,34
1992,18.26923,1,0,28
1992,8.6538458,0,1,33
1992,10.769231,0,0,30
1992,7.2115383,0,0,30
1992,19.23077,1,1,34
1992,20,1,0,32
1992,19.23077,1,1,29
1992,10.576923,0,0,29
1992,10.909091,0,0,31
1992,10.576923,0,0,32
1992,5.1594748,0,0,27
1992,10.897436,0,0,30
1992,6.0096154,0,0,29
1992,6.25,0,1,29
1992,10.989011,0,1,30
1992,12.980769,1,0,28
1992,11.057693,1,1,28
1992,3.1846154,1,1,27
1992,14.230769,0,0,29
1992,15.384615,1,0,33
1992,14.903846,1,1,29
1992,8.7719297,1,1,26
1992,19.23077,0,0,33
1992,12.019231,0,0,32
1992,12.259615,0,1,31
1992,13.5,1,1,26
1992,12.019231,0,0,28
1992,12.259615,0,0,31
1992,7.2115383,0,1,31
1992,6.8611112,0,1,31
1992,16.826923,0,1,25
1992,24.725275,1,1,31
1992,12.5,1,0,28
1992,10.416667,1,0,28
1992,12.637362,1,1,27
1992,13.942307,1,0,29
1992,6.9711537,0,1,29
1992,14.423077,1,0,27
1992,9.8290596,1,0,28
1992,5.7692308,0,1,25
1992,7.2115383,0,0,27
1992,5,0,1,28
1992,7.9326925,0,0,25
1992,16.239317,0,0,25
1992,4.8000002,0,0,34
1992,12.019231,0,0,34
1992,33.163265,1,0,34
1992,12.307693,0,0,32
1992,13.942307,1,0,29
1992,12.019231,0,0,32
1992,12.980769,1,1,33
1992,17.307692,1,1,29
1992,18.26923,1,1,25
1992,21.961153,1,0,32
1992,16.117788,1,1,29
1992,7.9326925,0,0,32
1992,7.6923075,0,0,30
1992,17.435898,0,0,34
1992,9.1346149,0,1,31
1992,7.0427351,1,1,25
1992,13.541667,0,0,29
1992,6.6133332,0,0,34
1992,12.5,1,1,26
1992,2.7472527,0,0,25
1992,6.4903846,0,1,30
1992,6.5999999,0,1,29
1992,7.2115383,0,1,27
1992,8.6538458,0,0,28
1992,20.673077,1,0,32
1992,16.826923,0,1,32
1992,16.17647,0,0,28
1992,12.028846,1,0,25
1992,11.538462,0,0,26
1992,20,0,0,33
1992,10.096154,0,1,31
1992,4.3428574,0,1,27
1992,11.538462,0,1,32
1992,15.144231,0,0,33
1992,4.8076925,0,0,25
1992,19.711538,1,0,34
1992,4.4749999,0,0,27
1992,12.019231,1,1,28
1992,21.634615,1,0,31
1992,13.461538,1,0,27
1992,16.826923,0,0,31
1992,19.23077,1,0,28
1992,11.639676,0,1,30
1992,12.087913,0,1,29
1992,7.4519229,1,0,28
1992,11.538462,0,1,34
1992,12.019231,0,0,33
1992,19.23077,0,0,33
1992,20.833334,1,0,30
1992,22.222221,1,1,31
1992,8,1,0,25
1992,12.307693,0,0,26
1992,15.865385,0,1,32
1992,12.692307,1,1,26
1992,8.6538458,1,1,28
1992,12.948462,0,1,29
1992,18.990385,0,0,26
1992,10.576923,0,1,34
1992,15.865385,0,0,33
1992,14.573077,1,0,30
1992,4.8076925,0,0,30
1992,30,0,0,31
1992,1.7032967,1,1,28
1992,9.3195267,0,1,27
1992,16.826923,0,0,34
1992,11.813187,0,1,33
1992,15.384615,0,0,29
1992,9.6153851,0,1,29
1992,11.538462,0,1,30
1992,15.519751,1,0,25
1992,9.1346149,0,0,25
1992,16.083916,1,0,32
1992,17.094017,1,0,34
1992,11.971154,1,1,32
1992,13.461538,0,0,29
1992,15.865385,0,0,30
1992,12.019231,0,1,33
1992,14.903846,1,0,28
1992,15.865385,1,1,32
1992,9.6153851,0,0,30
1992,11.394231,0,1,32
1992,10.629371,0,0,26
1992,10,1,0,26
1992,18.26923,1,0,34
1992,7,1,1,27
1992,12.019231,1,1,27
1992,14.423077,0,1,32
1992,24.358974,0,0,25
1992,11.538462,1,1,27
1992,16.826923,1,0,26
1992,12.691346,1,0,25
1992,9.6153851,1,0,25
1992,10.439561,1,0,27
1992,2.8846154,0,1,26
1992,15.182186,0,1,26
1992,18.26923,0,0,26
1992,6.9444447,1,0,27
1992,11.133173,0,0,30
1992,13.461538,0,0,32
1992,12.5,0,1,33
1992,9.6153851,0,0,31
1992,7.6923075,0,1,26
1992,16.987179,1,0,31
1992,24.291498,1,0,30
1992,11.778846,1,1,30
1992,8.2417583,0,0,28
1992,11.826923,1,1,26
1992,17.582418,1,0,34
1992,15.384615,1,0,27
1992,13.736263,1,0,25
1992,8.6538458,0,1,26
1992,10.769231,1,0,34
1992,12.980769,1,0,25
1992,20,0,0,30
1992,15.75,0,0,32
1992,10.096154,0,1,26
1992,16,0,0,32
1992,15.734265,0,0,30
1992,9.89011,1,0,26
1992,24.475525,1,0,33
1992,10.576923,0,1,32
1992,8.1730766,0,0,31
1992,3.675,0,1,29
1992,8.1730766,1,0,28
1992,7.5,0,0,26
1992,14.423077,0,0,30
1992,14.423077,0,0,29
1992,13.461538,1,0,30
1992,12.740385,0,0,30
1992,5.7692308,0,1,30
1992,9.4674559,1,0,28
1992,13.416816,1,1,25
1992,7.2115383,0,0,30
1992,9.6153851,0,1,25
1992,4.8289742,0,0,34
1992,16.346153,0,0,32
1992,7.6923075,0,1,25
1992,10.576923,0,0,31
1992,6.9230771,0,0,25
1992,10.528846,0,1,25
1992,10.576923,0,0,26
1992,8.6538458,0,1,34
1992,16.73077,1,1,27
1992,14.102564,1,0,32
1992,4.4444447,0,0,34
1992,21.153847,1,0,25
1992,16.02564,0,0,29
1992,6.7719779,0,1,31
1992,12.019231,1,1,33
1992,8.2417583,0,0,31
1992,23.076923,0,0,30
1992,8,0,1,33
1992,10,0,0,27
1992,17.307692,0,0,32
1992,16.826923,0,0,32
1992,14.0625,0,0,34
1992,9.6153851,1,1,32
1992,10.82548,0,1,33
1992,6.8376069,0,0,25
1992,15.865385,1,0,32
1992,6.818182,0,0,32
1992,16.826923,0,1,33
1992,17.307692,0,0,33
1992,28.846153,1,0,34
1992,16.346153,1,0,34
1992,22.027971,1,0,26
1992,9.6153851,1,1,25
1992,14.903846,1,0,32
1992,5.7692308,0,0,26
1992,21.314102,0,0,30
1992,18.81271,0,0,29
1992,10.096154,0,0,25
1992,9.2307692,0,0,25
1992,13.990385,0,0,29
1992,10.096154,0,1,26
1992,9.4230766,0,0,26
1992,9.4230766,0,0,28
1992,14.903846,1,0,31
1992,21.334616,0,1,34
1992,9.1093121,0,1,27
1992,8.6538458,0,0,31
1992,12.5,1,1,29
1992,13.111888,1,1,34
1992,6.8108974,0,1,31
1992,24.038462,1,0,33
1992,26.842949,1,0,25
1992,15.625,0,0,31
1992,9.2307692,0,0,33
1992,10.989011,0,1,29
1992,4.7619047,0,1,32
1992,15.384615,0,1,32
1992,20.192308,0,0,30
1992,6.7307692,0,1,25
1992,12.019231,1,1,26
1992,15.384615,0,1,30
1992,11.858974,1,0,32
1992,12.019231,0,0,28
1992,9.1346149,0,1,29
1992,7.3230767,0,0,27
1992,5,0,1,29
1992,12.362638,0,0,34
1992,10.35503,1,1,30
1992,10.989011,0,0,27
1992,19.711538,0,0,27
1992,10.059172,0,0,29
1992,9,0,0,26
1992,7.6923075,1,1,27
1992,18.028847,0,0,27
1992,9.1485577,0,0,30
1992,9.6153851,0,0,33
1992,8.6538458,0,0,31
1992,21.25506,1,1,33
1992,9.6153851,0,1,33
1992,14.423077,1,1,26
1992,14.903846,0,0,28
1992,10.683761,0,0,34
1992,18.431372,0,0,31
1992,12.980769,1,1,29
1992,22.115385,0,0,34
1992,16.826923,0,1,28
1992,20.673077,1,1,26
1992,11.331731,0,1,29
1992,12.608696,1,1,28
1992,7.2115383,0,0,25
1992,6.6666665,0,0,27
1992,19.23077,1,0,28
1992,8.0128202,0,0,31
1992,19.23077,1,0,32
1992,24.038462,0,0,30
1992,18.26923,0,0,30
1992,7.2115383,0,0,32
1992,14.423077,1,1,27
1992,16.826923,1,0,33
1992,9.1346149,0,0,26
1992,14.285714,1,1,25
1992,22.115385,1,0,34
1992,10.576923,1,0,26
1992,9.0686274,0,0,28
1992,8,0,0,28
1992,16.346153,0,1,26
1992,12.5,0,0,33
1992,19.23077,1,0,28
1992,22.596153,1,1,28
1992,8.6538458,0,0,34
1992,18.26923,1,1,26
1992,10.096154,0,1,26
1992,24.038462,0,0,31
1992,7.5,0,0,26
1992,30.145531,1,0,30
1992,12.362638,1,1,31
1992,18,0,0,33
1992,11.538462,1,1,27
1992,20.907051,1,1,28
1992,19.615385,1,0,32
1992,5.2884617,1,1,27
1992,13.736263,1,1,32
1992,9.6153851,1,1,26
1992,9.4340658,0,1,25
1992,19.23077,0,0,29
1992,9.6153851,1,1,34
1992,7.2115383,0,1,30
1992,3.3653846,0,0,34
1992,3.0769231,0,1,33
1992,18.26923,1,1,28
1992,7.5,0,0,29
1992,19.23077,1,1,30
1992,11.057693,1,1,28
1992,12.980769,1,0,30
1992,9.1575089,0,1,27
1992,17.582418,1,1,33
1992,29.91453,0,0,33
1992,16.239317,0,0,34
1992,15,1,0,34
1992,13.736263,1,1,26
1992,10,1,1,27
1992,14.835165,1,1,29
1992,14.423077,0,1,28
1992,15.384615,0,1,32
1992,12.980769,1,0,27
1992,15.560989,0,1,27
1992,10.989011,0,0,27
1992,14.423077,0,0,33
1992,12.087913,1,0,27
1992,8.6538458,0,1,30
1992,23.076923,1,1,34
1992,9.1346149,0,1,26
1992,14.903846,0,0,26
1992,13.736263,0,1,28
1992,15.307693,1,1,34
1992,10.856079,1,1,27
1992,12.019231,0,0,28
1992,9.4017096,0,0,28
1992,12,0,0,30
1992,16.826923,1,0,25
1992,20.192308,1,1,34
1992,11.538462,0,1,27
1992,14.423077,1,0,26
1992,15.384615,1,1,26
1992,6.7307692,0,1,25
1992,8.6538458,0,0,34
1992,5.2083335,1,0,31
1992,5.7692308,0,1,30
1992,10.439561,0,0,27
1992,5.7291665,0,1,34
1992,12,0,1,27
1992,25.303644,1,1,31
1992,10.5,0,1,26
1992,22.115385,0,1,32
1992,12.087913,0,1,25
1992,11.538462,0,1,27
1992,14.423077,1,1,26
1992,11.538462,0,1,30
1992,13.5,1,1,28
1992,24.615385,1,1,31
1992,27.747253,1,1,34
1992,25,0,0,31
1992,9.1346149,0,0,31
1992,33.173077,1,0,32
1992,6.25,0,0,34
1992,15.384615,0,0,29
1992,24.012501,0,0,26
1992,9,0,1,32
1992,2.5,1,1,34
1992,19.23077,0,0,28
1992,28.846153,1,0,32
1992,18.518518,1,1,30
1992,13.75,1,0,31
1992,14.230769,1,0,31
1992,5,0,0,34
1992,13.75,1,0,29
1992,9.6153851,1,1,27
1992,9.1346149,0,1,34
1992,25,1,1,30
1992,19.23077,1,1,33
1992,9.1346149,0,0,32
1992,11.875,0,1,25
1992,12.5,1,0,27
1992,7.5,1,0,29
1992,16.826923,0,0,34
1992,12.587413,1,0,32
1992,14.903846,0,0,34
1992,17.142857,1,1,32
1992,14.903846,1,0,27
1992,13.75,1,1,30
1992,8.9743586,1,0,30
1992,17.889088,1,0,27
1992,3.5576923,0,1,30
1992,7.875,0,0,25
1992,16.826923,1,1,29
1992,10.817307,1,1,28
1992,6.4423075,0,0,32
1992,2.4038463,0,1,31
1992,28.846153,1,1,30
1992,10.096154,0,0,26
1992,13.076923,1,1,25
1992,5.7692308,0,1,30
1992,14.423077,0,0,33
1992,17.884615,1,1,30
1992,46.634136,1,0,34
1992,7.2115383,0,1,31
1992,9.1346149,1,1,26
1992,17.582418,0,0,32
1992,18.75,0,0,32
1992,11.834319,0,0,32
1992,23.721611,1,0,30
1992,16.483517,0,1,28
1992,9.4017096,1,0,27
1992,16.826923,1,1,26
1992,9.6153851,0,1,28
1992,5.7692308,0,0,30
1992,8.75,0,0,27
1992,11.180679,1,0,30
1992,17.788462,1,0,34
1992,11,0,0,34
1992,8.75,0,1,33
1992,14.957265,1,1,27
1992,16.642012,1,1,31
1992,7.2115383,0,1,32
1992,13.986014,0,0,30
1992,16.346153,1,1,33
1992,15.865385,1,1,28
1992,15.384615,1,1,34
1992,6.0439563,0,1,25
1992,12.573964,1,1,27
1992,24.038462,1,0,29
1992,4.8000002,0,0,25
1992,10.096154,1,1,28
1992,21.634615,1,1,29
1992,10.096154,0,1,29
1992,11.538462,0,1,30
1992,12.019231,0,1,29
1992,19.78022,1,1,31
1992,4.3269229,0,1,31
1992,10.576923,0,0,31
1992,8.6538458,0,1,29
1992,6.7307692,0,1,26
1992,6.7307692,0,1,25
1992,5.2884617,0,1,29
1992,5.2884617,0,1,27
1992,7.5,0,0,31
1992,14.423077,1,1,34
1992,13.736263,1,1,29
1992,12.307693,1,1,25
1992,13.942307,1,1,28
1992,6.25,0,1,34
1992,24.012501,0,0,34
1992,5.0480771,0,0,32
1992,11.027884,0,1,26
1992,13.736263,0,1,25
1992,19.23077,0,0,27
1992,10.096154,1,0,32
1992,5.7692308,0,1,26
1992,12.5,1,1,25
1992,7.2115383,0,0,26
1992,6.25,0,0,30
1992,10.576923,0,1,31
1992,11.778846,0,1,34
1992,14.0625,0,0,25
1992,19.23077,1,0,28
1992,10.021787,1,1,29
1992,11.538462,0,1,34
1992,12.019231,0,0,25
1992,19.23077,1,0,34
